name,peak_no,peak_values,Time
SEPCOL,p5,0,3/2/2022 18:30
SEPCOL,p6,0,3/2/2022 18:45
SEPCOL,p7,0,3/2/2022 19:15
SEPCOL,p8,0,3/2/2022 19:30
SEPCOL,p9,0,3/2/2022 19:45
HCPC,p1,0,3/2/2022 17:15
HCPC,p2,0,3/2/2022 17:30
HCPC,p3,0,3/2/2022 17:45
HCPC,p4,0,3/2/2022 18:15
HCPC,p5,0,3/2/2022 18:30
HCPC,p6,0,3/2/2022 18:45
HCPC,p7,0,3/2/2022 19:15
HCPC,p8,0,3/2/2022 19:30
HCPC,p9,0,3/2/2022 19:45
UCH,p1,540,3/2/2022 17:15
UCH,p2,536,3/2/2022 17:30
UCH,p3,536,3/2/2022 17:45
UCH,p4,536,3/2/2022 18:15
UCH,p5,536,3/2/2022 18:30
UCH,p6,536,3/2/2022 18:45
UCH,p7,536,3/2/2022 19:15
UCH,p8,536,3/2/2022 19:30
UCH,p9,542,3/2/2022 19:45
ROUSCH,p1,0,3/2/2022 17:15
ROUSCH,p2,0,3/2/2022 17:30
ROUSCH,p3,0,3/2/2022 17:45
ROUSCH,p4,0,3/2/2022 18:15
ROUSCH,p5,0,3/2/2022 18:30
ROUSCH,p6,0,3/2/2022 18:45
ROUSCH,p7,0,3/2/2022 19:15
ROUSCH,p8,0,3/2/2022 19:30
ROUSCH,p9,0,3/2/2022 19:45
FKPCL,p1,0,3/2/2022 17:15
FKPCL,p2,0,3/2/2022 17:30
FKPCL,p3,0,3/2/2022 17:45
FKPCL,p4,0,3/2/2022 18:15
FKPCL,p5,0,3/2/2022 18:30
FKPCL,p6,0,3/2/2022 18:45
FKPCL,p7,0,3/2/2022 19:15
FKPCL,p8,0,3/2/2022 19:30
FKPCL,p9,0,3/2/2022 19:45
SABA,p1,122,3/2/2022 17:15
SABA,p2,122,3/2/2022 17:30
SABA,p3,122,3/2/2022 17:45
SABA,p4,122,3/2/2022 18:15
SABA,p5,122,3/2/2022 18:30
SABA,p6,122,3/2/2022 18:45
SABA,p7,122,3/2/2022 19:15
SABA,p8,122,3/2/2022 19:30
SABA,p9,122,3/2/2022 19:45
JAPAN,p1,0,3/2/2022 17:15
JAPAN,p2,0,3/2/2022 17:30
JAPAN,p3,0,3/2/2022 17:45
JAPAN,p4,0,3/2/2022 18:15
JAPAN,p5,0,3/2/2022 18:30
JAPAN,p6,0,3/2/2022 18:45
JAPAN,p7,0,3/2/2022 19:15
JAPAN,p8,0,3/2/2022 19:30
JAPAN,p9,0,3/2/2022 19:45
LIBERTY.POWER,p1,0,3/2/2022 17:15
LIBERTY.POWER,p2,0,3/2/2022 17:30
LIBERTY.POWER,p3,0,3/2/2022 17:45
LIBERTY.POWER,p4,0,3/2/2022 18:15
LIBERTY.POWER,p5,0,3/2/2022 18:30
LIBERTY.POWER,p6,0,3/2/2022 18:45
LIBERTY.POWER,p7,0,3/2/2022 19:15
LIBERTY.POWER,p8,0,3/2/2022 19:30
LIBERTY.POWER,p9,0,3/2/2022 19:45
AEL,p1,0,3/2/2022 17:15
AEL,p2,0,3/2/2022 17:30
AEL,p3,0,3/2/2022 17:45
AEL,p4,0,3/2/2022 18:15
AEL,p5,0,3/2/2022 18:30
AEL,p6,0,3/2/2022 18:45
AEL,p7,0,3/2/2022 19:15
AEL,p8,0,3/2/2022 19:30
AEL,p9,0,3/2/2022 19:45
DAVIS,p1,0,3/2/2022 17:15
DAVIS,p2,0,3/2/2022 17:30
DAVIS,p3,0,3/2/2022 17:45
DAVIS,p4,0,3/2/2022 18:15
DAVIS,p5,0,3/2/2022 18:30
DAVIS,p6,0,3/2/2022 18:45
DAVIS,p7,0,3/2/2022 19:15
DAVIS,p8,0,3/2/2022 19:30
DAVIS,p9,0,3/2/2022 19:45
AGL,p1,145,3/2/2022 17:15
AGL,p2,145,3/2/2022 17:30
AGL,p3,145,3/2/2022 17:45
AGL,p4,135,3/2/2022 18:15
AGL,p5,64,3/2/2022 18:30
AGL,p6,64,3/2/2022 18:45
AGL,p7,4,3/2/2022 19:15
AGL,p8,0,3/2/2022 19:30
AGL,p9,0,3/2/2022 19:45
ATLAS,p1,175,3/2/2022 17:15
ATLAS,p2,175,3/2/2022 17:30
ATLAS,p3,175,3/2/2022 17:45
ATLAS,p4,175,3/2/2022 18:15
ATLAS,p5,175,3/2/2022 18:30
ATLAS,p6,175,3/2/2022 18:45
ATLAS,p7,175,3/2/2022 19:15
